Spiller,Lag,kamper,Mål
Erling Braut Haaland,Manchester City FC,11,12
Mohamed Salah,Liverpool FC,8,8
Kylian Mbappé,PSG,8,7
Vinícius Júnior,Real Madrid,12,7
João Mário,Benfica,10,6
Robert Lewandowski,FC Barcelona,5,5
Victor Osimhen,Napoli,6,5	
Mehdi Taremi,FC Porto,7,5	
Rafa Silva,Benfica,10,5	
Rodrygo,Real Madrid,12,5,
Olivier Giroud,AC Milan,12,5
